file,fraud_prob,risk_level,trust_score,scam_domains,risk_signals,ocr_len,ocr_preview,message
스크린샷 2026-05-08 오전 10.40.10.png,0.1448,LOW,86,,whatsapp,405,"Yesterday Messages and calls are end-to-end encrypted No one outside of this chat not even WhatsApp; Can read or listen to them to learn more Hello nice to communicate with you My name is Martha ,an HR recruiter from Our company is looking for online part-time employees Job certification is easy and","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 86%로 분석되었습니다. 특히 ‘whatsapp’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.40.17.png,0.2804,LOW,72,,whatsapp,346,<1 9 top hcic toadd to contacts C Wcd 27 Mcssagcs and Calls Jrc cnd-(O-cnd encrypted No one outside o this chat not Cvcn WhatsApp can read Or listen to them. Lcarn morc . Hi my name is Danielle lam a recruitment consultant for We have received your job application Are you still lookingfor a job? 173,"AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 72%로 분석되었습니다. 특히 ‘whatsapp’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.40.32.png,0.6026,MEDIUM,40,,whatsapp,594,Hi work at Trbie HR We noticed that your CV has generated significant interest in thejob market and we'dlike to offer youan exciting online job opportunity We provide flexible remote work either part-time or full-time with comprehensive training that is completely free. You can work according to you,"AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 40%로 분석되었습니다. 특히 ‘whatsapp’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.40.46.png,0.4825,MEDIUM,52,,,143,"Text Message Mar 24 at 1:26PM Happy Sundayl'm Sarah from Manpower Recruiting, have a remote job offer Can | send you the work details? Sun good","AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 52%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.41.00.png,0.3315,LOW,67,,,819,"247 miatewfiggoicloud corn iMessage 17:25 AM Hello, excuse melma Recruitment Assistant at Indeed. We would like to offer you a great remote part-timelfull-time job to help update app store data increase app views and downloads, and provide you with free training Flexible part-time and full-time jobs","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 67%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.42.11.png,0.2115,LOW,79,,found your profile,920,We have found your profile on job-seeker website and we think you would be a perfect match for our currently open position. We are providing good wage rates; workers spending full time are given extra benefits and the relaxation Of their job from home at any set time. If you don't want to avail this,"AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 79%로 분석되었습니다. 특히 ‘found your profile’ 등 사기 공고에서 자주 사용되는 표현이 포함되어 있습니다."
스크린샷 2026-05-08 오전 10.42.18.png,0.1877,LOW,81,,,274,Yes am interested GREAT! FOR THE NEXT STEP NEED FOR YOU TO SEND A COPY OF YOUR MISSOURI ISSUEDL.D ALONG WITH YOUR SOCIAL SECURITY # & DATE OF BIRTHFOR YOUR 24 HOUR BACK GROUND CHECK. DOCUMENTS MAY ALSO BE SENT TO: PHASE3366@GMAILCOM WE HOPE TO HEAR FROM YOU KII Text Message,"AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 81%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.42.23.png,0.1563,LOW,84,,,406,"Sorry for contacting you this way it's due to the urgency attached Oh no that's totally fine What is the urgent matter? good III need S1,400.7 physical Target gift cards with S200 denominations on each cards| will make sure you reimbursed later today Gently scratch the back of the cards forthe claim","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 84%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.42.35.png,0.3692,MEDIUM,63,,,359,17:59 qwxfqkakzcjqooutlook.com iMessage 20 5.2024 at 10.44 Hello! We are a dynamic company looking for passionate and responsible individuals to join our team. Only 60 to 120 minutes a to complete online optimization tasks. Keep daily salary between 20-10000 euros foralong time join us! (Note: Must ,"AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 63%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.42.53.png,0.1901,LOW,81,,,392,"FRIDAY LinkedIn Member 5:50 pm Recruitment for the position of Digital Marketing Manager Hi ""mfrom the Recruiting department of LOreal We need to recruit positions: Digital Marketing Manager Location: England Salary: $3Ok $5OkIMonth(not include bonuses) For more details leave your Email and Resume. ","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 81%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.43.34.png,0.0442,LOW,96,,,1171,Postedihour ago Remote SEO Writer Fixed-price Intermediate Est Budget: $300 We are seeking atalented and experienced SEO writer to join our remote team As an SEO writer you will be responsible for creating engaging and optimized content that drives organic traffic to our website Theideal candidate s,"AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 96%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.44.25.png,0.1624,LOW,84,,,313,"Executive Assistant cumbis Markham ON S22 S30 an hour Part time The ideal person wIll be energetic and efficient to work with the CEO Managing calendars travel events and helping to prepare notch PowerPoint presentations are critical but helping to create ""fun In the workplace Is important as well M","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 84%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.44.45.png,0.8455,HIGH,15,,,1005,Administrative Assistant - S19.35 Daily Money Team Representative Per Hr Rich Media Group Lookinglor customer service reDs Wro wani tO work irom home make 80 10J dollars a Dostling ads On tne Interne? and takrg calls(NO STARTUP ADMINITRATIVE ASSISTANT FEES NOMOVEYISREOUIRED) Emall Your Aesume To App,"AI 분석 결과, 해당 공고는 Danger 단계로 분류되었습니다. 신뢰도는 약 15%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.44.59.png,0.4283,MEDIUM,57,,,557,Data Entry Clerk Philadelphia Pennsylvania United States Posted 25 days ago Save Applied Job description We are looking for a Data Clerk to type information into our database from paper documents. The ideal candidate will be computer and afast typist with a keen eyefor detail. You will report toa da,"AI 분석 결과, 해당 공고는 Warning 단계로 분류되었습니다. 신뢰도는 약 57%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.45.06.png,0.2382,LOW,76,,,287,Haynes Aubrey McGraw Mobile 11h ago Haynes Aubrey McGraw SI6TIGHT TODAY Haynes Aubrey McGraw 12.23 AM The Job Description is that you will be posting housefor rent on marketplacehere onfacebookare you familiar with posting ads andif yes do you have marketplace on your facebook? @cNrovoy,"AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 76%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
스크린샷 2026-05-08 오전 10.45.27.png,0.1831,LOW,82,,,532,"You are hereby invited to Grandleadheritage Ltd fora job interview at 5, Surulere industrial Estate Adeniyi Jones ikeja lagos on Wednesday 14th of june; 2017 by 10.00 a.m prompt Direction: From Ikeja under bridge take a tricycle to adeniyi Jones, ogba. at universal and locate university press buildi","AI 분석 결과, 해당 공고는 Good 단계로 분류되었습니다. 신뢰도는 약 82%로 분석되었습니다. 뚜렷한 사기 공고 패턴 표현은 탐지되지 않았습니다."
